11,14,16,27,25,26,23,24
12,14,18,20,22,24,28,0
12,13,16,19,21,25,24,23
12,14,17,19,21,25,24,23
12,14,18,19,22,25,24,0
12,15,17,19,23,25,28,0
11,14,17,20,22,25,24,0
11,13,18,20,22,26,24,0
12,14,16,27,22,24,0,0
12,13,16,19,21,25,24,23
12,14,17,19,21,25,24,23
12,15,18,19,22,25,24,0
12,13,16,19,21,25,24,23
11,14,16,27,25,26,23,24
11,14,17,20,22,25,24,0
11,14,17,20,22,25,24,0
12,13,16,19,21,25,24,23
11,13,18,20,22,26,24,0
11,14,18,20,22,26,24,0
12,15,18,19,22,25,24,0
12,13,16,19,21,25,24,23
12,13,16,19,21,22,24,23
11,14,16,19,21,25,24,23
12,13,16,19,21,25,22,23
11,14,16,27,25,26,23,24
